"","sessao","caps_insect","rede_hora","taxa","mes"
"1",1,23,161.25,0.142635658914729,"agosto"
"2",2,12,198.166666666667,0.0605550883095038,"setembro"
"3",3,23,203.333333333333,0.113114754098361,"outubro"
"4",4,16,199.583333333333,0.0801670146137787,"novembro"
"5",5,11,197.5,0.0556962025316456,"dezembro"
"6",6,3,193.333333333333,0.0155172413793103,"janeiro"
"7",7,14,186.666666666667,0.075,"fevereiro"
"8",8,16,182.916666666667,0.0874715261958998,"marco"
"9",9,12,178.75,0.0671328671328671,"abril"
"10",10,13,170,0.0764705882352941,"maio"
"11",11,13,166.25,0.0781954887218045,"junho"
"12",12,12,167.083333333333,0.0718204488778055,"julho"
