"Species","Num_Individuos"
"Aegiphila integrifolia (Jacq.) Moldenke",2
"Alchornea glandulosa Poepp. & Endl.",7
"Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.",2
"Casearia sylvestris Sw.",8
"Cedrela fissilis Vell.",1
"Chrysophyllum marginatum (Hook. & Arn.) Radlk.",3
"Citharexylum myrianthum Cham.",4
"Copaifera langsdorffii Desf.",1
"Dichorisandra hexandra (Aubl.) C.B. Clarke",1
"Diospyros inconstans Jacq.",1
"Erythroxylum pelleterianum A.St. -Hil.",1
"Eugenia florida DC.",3
"Guarea macrophylla Vahl",2
"Guazuma ulmifolia Lam.",5
"Lacistema hasslerianum Chodat",2
"Lafoensia pacari A.St.-Hil.",3
"Lithraea molleoides (Vell.) Engl.",1
"Machaerium brasiliense Vogel",1
"Maclura tinctoria (L.) D.Don ex Steud.",1
"Miconia albicans (Sw.) Triana",4
"Momordica charantia L.",1
"Monteverdia aquifolia (Mart.) Biral",2
"Monteverdia evonymoides (Reissek) Biral",2
"Moquiniastrum polymorphum (Less.) G. Sancho",8
"Myracrodruon urundeuva Allemao",3
"Myracrodruon urundeuva Allemão",8
"Ocotea puberula (Rich.) Nees",2
"Pera glabrata (Schott) Poepp. ex Baill.",3
"Piper aduncum L.",1
"Piper amalago L.",2
"Platypodium elegans Vogel",2
"Psidium guajava L.",1
"Psidium sp.",2
"Psychotria sp.",1
"Rhamnidium elaeocarpum Reissek",11
"Sebastiania brasiliensis Spreng.",4
"Siparuna guianensis Aubl.",5
"Solanum americanum Mill.",3
"Syagrus romanzoffiana (Cham.) Glassman",16
"Tapirira guianensis Aubl.",1
"Trichilia catigua A.Juss.",2
"Trichilia clausseni C.DC.",3
"Trichilia elegans A.Juss.",4
"Trichilia pallida Sw.",6
"Zanthoxylum monogynum A.St.-Hil.",2
"Zanthoxylum rhoifolium Lam.",4
"Zanthoxylum riedelianum Engl.",2
"Zanthoxylum sp.",1
"Total",155
