Species,IN,FI,Dispersion
Lithraea molleoides,4,6,5
Trichilia pallida,4,6,5
Guazuma ulmifolia,3,6,5
Eugenia florida,2,3,5
Rhamnidium elaeocarpum,1,2,5
Trichilia clausseni,-2,0,5
Casearia sylvestris,-4,0,5
Chrysophyllum marginatum,-4,-1,5
Copaifera langsdorffii,-4,-3,5
Miconia albicans,-4,-1,5
Eugenia florida,-5,0,5
Guazuma ulmifolia,-5,-1,5
Syagrus romanzoffiana,-5,6,5
Trichilia pallida,-5,-3,5
Zanthoxylum monogynum,-5,-2,5
Zanthoxylum riedelianum,-5,-4,5
Guarea macrophylla,4,6,4
Pera glabrata,4,6,4
Aegiphila integrifolia,1,2,4
Alchornea glandulosa,0,2,4
Pera glabrata,-5,0,4
Sebastiania brasiliensis,3,4,3
Lafoensia pacari,1,4,3
Croton floribundus,-1,3,3
Lafoensia pacari,-4,-2,3
Sebastiania brasiliensis,-5,0,3
Leucochloron incuriale,4,6,2
Luehea candicans,2,6,2
Machaerium stipitatum,-4,-3,2
Luehea candicans,-5,-2,2
Platypodium elegans,6,6,1
Centrolobium tomentosum,5,6,1
Bauhinia longifolia,4,6,1
Machaerium villosum,4,5,1
Myracrodruon urundeuva,4,6,1
Eucalyptus spp.,3,4,1
Moquiniastrum polymorphum,1,4,1
Platypodium elegans,1,2,1
Machaerium hirtum,-2,0,1
Machaerium brasiliense,-3,-2,1
Casearia gossypiosperma,-4,-3,1
Centrolobium tomentosum,-4,-2,1
Handroanthus ochraceus,-4,-3,1
Eucalyptus spp.,-5,0,1
Moquiniastrum polymorphum,-5,-4,1
Myracrodruon urundeuva,-5,-2,1
Vochysia tucanorum,-5,-2,1
