Species,IN,FI,Dispersion
Aegiphila integrifolia,-5,-1,1
Allophylus edulis,-5,-1,1
Allophylus edulis,2,6,1
Aloysia virgata,-5,-1,1
Aloysia virgata,2,4,1
Aspidosperma cylindrocarpon,-5,-2,1
Aspidosperma cylindrocarpon,1,3,1
Casearia decandra,-5,-2,1
Casearia gossypiosperma,-5,-2,1
Cedrela fissilis,-5,-1,1
Cedrela fissilis,6,6,1
Centrolobium tomentosum,-5,-1,1
Centrolobium tomentosum,1,6,1
Cordia trichotoma,-5,-3,1
Cordia trichotoma,6,6,1
Croton urucurana,-5,-2,1
Croton urucurana,1,2,1
Dahlstedtia muehlbergiana,-5,-1,1
Dahlstedtia muehlbergiana,1,2,1
Enterolobium contortisiliquum,-5,-2,1
Enterolobium contortisiliquum,1,6,1
Eugenia pluriflora,-5,-2,1
Handroanthus heptaphyllus,-5,-1,1
Handroanthus ochraceus,-5,-3,1
Machaerium brasiliense,-5,-2,1
Machaerium brasiliense,2,3,1
Machaerium hirtum,-5,6,1
Myracrodruon urundeuva,-5,-2,1
Myracrodruon urundeuva,6,6,1
Myrcia tomentosa,-5,-2,1
Myrcia tomentosa,4,6,1
Myroxylon peruiferum,-5,-2,1
Peltophorum dubium,-5,-2,1
Platymiscium floribundum,-5,-2,1
Platymiscium floribundum,6,6,1
Pseudobombax grandiflorum,-4,-3,1
Rhamnidium elaeocarpum,-5,-2,1
Rhamnidium elaeocarpum,6,6,1
Zanthoxylum riedelianum,-5,0,1
Zanthoxylum riedelianum,6,6,1
Albizia niopoides,-5,-2,2
Albizia niopoides,6,6,2
Bauhinia longifolia,-5,-3,2
Bauhinia longifolia,2,3,2
Cariniana estrellensis,-5,-2,2
Cariniana estrellensis,2,3,2
Celtis cf. iguanaea,-3,-2,2
Chrysophyllum marginatum,-5,-1,2
Chrysophyllum marginatum,1,2,2
Citharexylum myrianthum,-5,-2,2
Citharexylum myrianthum,1,2,2
Copaifera langsdorffii,-5,-2,2
Copaifera langsdorffii,1,6,2
Cordia americana,-5,-3,2
Cordia americana,6,6,2
Croton floribundus,-5,-1,2
Croton floribundus,2,6,2
Eugenia pyriformis,-5,-2,2
Eugenia pyriformis,1,3,2
Lafoensia pacari,-5,-2,2
Lafoensia pacari,1,2,2
Lonchocarpus cultratus,-5,-2,2
Lonchocarpus cultratus,6,6,2
Luehea candicans,-5,-1,2
Luehea candicans,1,6,2
Luehea grandiflora,-5,-2,2
Luehea grandiflora,1,6,2
Machaerium nyctitans,-5,-1,2
Machaerium nyctitans,2,6,2
Maclura tinctoria,-5,0,2
Mollinedia widgrenii,-5,-1,2
Mollinedia widgrenii,1,4,2
Platypodium elegans,-5,-1,2
Platypodium elegans,1,6,2
Psidium guajava,-5,6,2
Roupala montana,-5,-2,2
Roupala montana,1,3,2
Sebastiania brasiliensis,-5,-2,2
Trichilia clausseni,-5,-1,2
Trichilia clausseni,1,3,2
Trichilia pallida,-5,-1,2
Trichilia pallida,6,6,2
Zanthoxylum rhoifolium,-5,2,2
