"","sessao","caps_frug","rede_hora","taxa","mes"
"1",1,25,161.25,0.155038759689922,"agosto"
"2",2,24,198.166666666667,0.121110176619008,"setembro"
"3",3,26,203.333333333333,0.127868852459016,"outubro"
"4",4,28,199.583333333333,0.140292275574113,"novembro"
"5",5,33,197.5,0.167088607594937,"dezembro"
"6",6,8,193.333333333333,0.0413793103448276,"janeiro"
"7",7,20,186.666666666667,0.107142857142857,"fevereiro"
"8",8,6,182.916666666667,0.0328018223234624,"marco"
"9",9,19,178.75,0.106293706293706,"abril"
"10",10,11,170,0.0647058823529412,"maio"
"11",11,9,166.25,0.0541353383458647,"junho"
"12",12,10,167.083333333333,0.0598503740648379,"julho"
