Plot;spp. code;Family;Species;Tag;DATE;Fruit
207;89;Commelinaceae;Dichorisandra hexandra (Aubl.) C.B. Clarke;14;abril;1
207;28;Myrtaceae;Eugenia florida DC.;16;abril;1
90;88;Lacistemataceae;Lacistema hasslerianum Chodat;18;abril;1
206;31;Peraceae;Pera glabrata (Schott) Poepp. ex Baill.;31;abril;1
206;93;Myrtaceae;Psidium sp.;37;abril;1
56;97;Siparunaceae;Siparuna guianensis Aubl.;51;abril;1
56;97;Siparunaceae;Siparuna guianensis Aubl.;52;abril;1
56;97;Siparunaceae;Siparuna guianensis Aubl.;53;abril;1
20;95;Solanaceae;Solanum americanum Mill.;54;abril;1
20;95;Solanaceae;Solanum americanum Mill.;56;abril;1
56;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;61;abril;1
90;98;Meliaceae;Trichilia elegans A.Juss.;66;abril;1
207;98;Meliaceae;Trichilia elegans A.Juss.;67;abril;1
87;54;Asteraceae;Moquiniastrum polymorphum (Less.) G. Sancho;2055;abril;1
87;32;Malvaceae;Guazuma ulmifolia Lam.;2060;abril;1
87;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;2111;abril;1
87;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;2126;abril;1
88;1;Meliaceae;Trichilia pallida Sw.;2156;abril;1
88;54;Asteraceae;Moquiniastrum polymorphum (Less.) G. Sancho;2165;abril;1
88;54;Asteraceae;Moquiniastrum polymorphum (Less.) G. Sancho;2169;abril;1
88;34;Lamiaceae;Aegiphila integrifolia (Jacq.) Moldenke;2190;abril;1
88;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;2209;abril;1
88;54;Asteraceae;Moquiniastrum polymorphum (Less.) G. Sancho;2212;abril;1
88;54;Asteraceae;Moquiniastrum polymorphum (Less.) G. Sancho;2224;abril;1
88;56;Anacardiaceae;Tapirira guianensis Aubl.;2231;abril;1
88;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;2238;abril;1
90;31;Peraceae;Pera glabrata (Schott) Poepp. ex Baill.;2308;abril;1
20;33;Anacardiaceae;Lithraea molleoides (Vell.) Engl.;2692;abril;1
20;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;2781;abril;1
20;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;2782;abril;1
20;53;Arecaceae;Syagrus romanzoffiana (Cham.) Glassman;2792;abril;1
56;1;Meliaceae;Trichilia pallida Sw.;3404;abril;1
56;3;Rutaceae;Zanthoxylum rhoifolium Lam.;3413;abril;1
56;32;Malvaceae;Guazuma ulmifolia Lam.;3450;abril;1
206;54;Asteraceae;Moquiniastrum polymorphum (Less.) G. Sancho;4635;abril;1
