Plot;spp. code;Family;species_standardized ;species_tag_standardized;DATE;date_set_standardized ;date_retrieved_standardized;FRP;fruiting_location ;M-FR;ZOOCORIA
207;100;Solanaceae;Alchornea glandulosa Poepp. & Endl.;1;05/10/2022;05/10/2022;01/11/2022;1;tree;1;1
207;100;Solanaceae;Alchornea glandulosa Poepp. & Endl.;1;05/11/2022;05/10/2022;01/11/2022;1;tree;1;1
207;100;Solanaceae;Alchornea glandulosa Poepp. & Endl.;2;05/10/2022;05/10/2022;23/10/2022;1;tree;1;1
207;100;Solanaceae;Alchornea glandulosa Poepp. & Endl.;3;28/10/2022;28/10/2022;30/10/2022;1;tree;1;1
207;100;Solanaceae;Alchornea glandulosa Poepp. & Endl.;4;28/10/2022;28/10/2022;04/11/2022;1;tree;1;1
90;99;Siparunaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;5;10/07/2023;10/07/2023;01/08/2023;1;tree;1;1
207;100;Solanaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;5;01/08/2023;10/07/2023;01/08/2023;1;tree;1;1
90;99;Siparunaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;6;10/07/2023;10/07/2023;10/10/2023;1;tree;1;1
90;99;Siparunaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;6;10/08/2023;10/07/2023;10/10/2023;1;tree;1;1
90;99;Siparunaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;6;10/09/2023;10/07/2023;10/10/2023;1;tree;1;1
90;99;Siparunaceae;Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;6;10/10/2023;10/07/2023;10/10/2023;1;tree;1;1
90;99;Siparunaceae;Casearia sylvestris Sw.;7;13/09/2022;13/09/2022;23/09/2022;1;tree;1;1
90;99;Siparunaceae;Casearia sylvestris Sw.;8;26/08/2022;26/08/2022;08/09/2022;1;tree;1;1
90;99;Siparunaceae;Citharexylum myrianthum Cham.;9;23/01/2023;23/01/2023;17/03/2023;1;tree;1;1
90;99;Siparunaceae;Citharexylum myrianthum Cham.;9;23/02/2023;23/01/2023;17/03/2023;1;tree;1;1
90;99;Siparunaceae;Citharexylum myrianthum Cham.;9;23/03/2023;23/01/2023;17/03/2023;1;tree;1;1
90;99;Siparunaceae;Citharexylum myrianthum Cham.;10;15/02/2023;15/02/2023;17/03/2023;1;tree;1;1
90;99;Siparunaceae;Citharexylum myrianthum Cham.;10;15/03/2023;15/02/2023;17/03/2023;1;tree;1;1
90;99;Siparunaceae;Citharexylum myrianthum Cham.;11;28/02/2023;28/02/2023;17/03/2023;1;tree;1;1
90;99;Siparunaceae;Citharexylum myrianthum Cham.;11;28/03/2023;28/02/2023;17/03/2023;1;tree;1;1
20;98;Rubiaceae;Croton floribundus Spreng.;12;18/01/2023;18/01/2023;09/02/2023;1;tree;1;1
