Species,IN,FI,Dispersion
Aegiphila integrifolia,-2,2,1
Allophylus edulis,-5,6,1
Aloysia virgata,-5,6,1
Aspidosperma cylindrocarpon,-4,2,1
Casearia decandra,-3,6,1
Casearia gossypiosperma,-2,1,1
Casearia gossypiosperma,3,4,1
Cedrela fissilis,-5,5,1
Centrolobium tomentosum,-3,1,1
Centrolobium tomentosum,3,4,1
Citharexylum myrianthum,-2,6,1
Cordia trichotoma,-3,4,1
Dahlstedtia muehlbergiana,-5,5,1
Enterolobium contortisiliquum,-5,4,1
Enterolobium contortisiliquum,6,6,1
Eugenia pluriflora,-2,-1,1
Handroanthus heptaphyllus,0,1,1
Handroanthus ochraceus,-3,2,1
Machaerium brasiliense,-5,3,1
Machaerium hirtum,-5,4,1
Machaerium hirtum,6,6,1
Myracrodruon urundeuva,-5,5,1
Myrcia tomentosa,-2,4,1
Myroxylon peruiferum,-5,4,1
Peltophorum dubium,-2,1,1
Platymiscium floribundum,-3,4,1
Pseudobombax grandiflorum,-2,-1,1
Pseudobombax grandiflorum,1,2,1
Rhamnidium elaeocarpum,-5,3,1
Rhamnidium elaeocarpum,5,6,1
Zanthoxylum riedelianum,-5,5,1
Albizia niopoides,-5,5,2
Bauhinia longifolia,-5,5,2
Cariniana estrellensis,-5,3,2
Chrysophyllum marginatum,-4,6,2
Copaifera langsdorffii,-5,4,2
Cordia americana,-3,5,2
Croton floribundus,-5,5,2
Eugenia pyriformis,-2,4,2
Lafoensia pacari,-3,4,2
Lonchocarpus cultratus,-5,5,2
Luehea candicans,-5,6,2
Luehea grandiflora,-2,4,2
Machaerium nyctitans,-5,6,2
Maclura tinctoria,-3,-2,2
Maclura tinctoria,0,6,2
Mollinedia widgrenii,-3,2,2
Myrcia splendens,-5,6,2
Platypodium elegans,-5,6,2
Psidium guajava,-5,2,2
Roupala montana,-5,5,2
Sebastiania brasiliensis,-4,6,2
Trichilia clausseni,-5,5,2
Trichilia pallida,-5,5,2
Zanthoxylum rhoifolium,-3,6,2
