Species,IN,FI,Dispersion
Aegiphila integrifolia,-1,1,2
Albizia niopoides,-5,-4,2
Alchornea glandulosa,2,3,2
Alchornea glandulosa.,-4,0,2
Aloysia virgata,-3,-1,2
Andira fraxinifolia,1,2,2
Andira fraxinifolia,-4,0,2
Aspidosperma cylindrocarpon,-2,0,2
Bauhinia longifolia,2,5,2
Cariniana estrellensis,-5,-4,2
Casearia sylvestris,6,6,2
Casearia sylvestris,-5,1,2
Cedrela fissilis,-3,-2,2
Centrolobium tomentosum,1,3,2
Chrysophyllum marginatum,-5,6,2
Citharexylum myrianthum,-1,2,2
Cordia trichotoma,4,6,2
Croton floribundus,-2,2,2
Cupania vernalis,-5,-2,2
Dahlstedtia muehlbergiana,-5,-4,2
Enterolobium contortisiliquum,-4,-2,2
Eucalyptus spp.,1,6,2
Eucalyptus spp.,-5,-4,2
Eugenia pluriflora,-1,2,2
Faramea latifolia,-3,-2,2
Guapira hirsuta,-3,-2,2
Guarea macrophylla,-2,4,2
Guazuma ulmifolia,-5,4,2
Lafoensia pacari,-1,0,2
Leucochloron incuriale,1,2,2
Lithraea molleoides,-4,1,2
Luehea candicans,-3,5,2
Luehea grandiflora,-2,0,2
Machaerium hirtum,1,2,2
Machaerium nyctitans,-5,-4,2
Machaerium nyctitans,-1,2,2
Machaerium villosum,1,2,2
Miconia albicans,-3,-2,2
Moquiniastrum polymorphum,-5,-3,2
Moquiniastrum polymorphum,-1,2,2
Myracrodruon urundeuva,-5,-3,2
Myrcia tomentosa,-4,0,2
Myrsine umbellata,-4,0,1
Pera glabrata,3,4,1
Platymiscium floribundum,-2,0,2
Platypodium elegans,-3,-1,2
Sebastiania brasiliensis,-2,0,1
Syagrus romanzoffiana,-2,4,2
Tapirira guianensis,2,3,2
Tapirira guianensis,-3,0,2
Trichilia catigua,-5,0,2
Trichilia clausseni,-5,0,2
Trichilia pallida,2,5,2
Trichilia pallida,-3,-2,2
Vochysia tucanorum,-5,-3,2
Zanthoxylum monogynum,3,4,2
Zanthoxylum monogynum,-4,-3,2
Zanthoxylum rhoifolium,-5,6,2
