ind,plot,species,top,ba,h,tor,brk,woo,tgh,lsz,sla,N,P,K,pol,dis
2,1,Acosmium_dasycarpum,0,0.000963,0.79,0.06,9.03,0.3255,2.72,9494,5.7723,21.95,1.05,7.65,be,ane
3,1,Acosmium_dasycarpum,0,0.001345,0.66,0,7.35,0.3795,2.43,6303,6.5242,23.48,0.99,6.89,be,ane
4,1,Pouteria_ramiflora,0,0.002936,1.96,0,9.06,0.4246,0.57,8198,7.6161,17.35,0.93,7.14,mo,zoo
5,1,Pouteria_ramiflora,0,0.003509,2.14,0,9.63,0.4084,0.64,7988,7.61,18.44,1.34,7.65,mo,zoo
1,1,Pouteria_torta,0,0.002873,1.24,0.1,11.65,0.3765,0.67,5798,7.1714,15.68,1.24,5.1,mo,zoo
6,2,Eremanthus_erythropappus,1,0.005379,1.95,0.09,14.57,0.5578,0.42,4649,10.8284,22.12,1.73,6.12,si,ane
8,2,Eremanthus_erythropappus,1,0.004019,1.28,0.08,13.58,0.5325,0.39,4340,12.0859,21.27,1.97,10.2,si,ane
7,2,Pouteria_torta,1,0.005379,1.12,0,13.49,0.3248,0.7,7384,8.1625,14.27,1.02,5.1,mo,zoo
12,3,Connarus_suberosus,0,0.007162,2.47,0.03,17.57,0.4616,1.71,9829,6.322,10.71,0.63,4.08,si,zoo
18,3,Connarus_suberosus,0,0.002873,1.74,0.04,13.45,0.3583,1.63,16131,5.8839,12.12,0.62,3.32,si,zoo
19,3,Connarus_suberosus,0,0.004584,2.04,0.02,18.19,0.4288,1.55,8553,6.0269,13.06,0.7,3.57,si,zoo
20,3,Connarus_suberosus,0,0.00156,1.08,0.2,14.33,0.4666,1.95,15862,5.5999,17.28,1.01,6.63,si,zoo
13,3,Ouratea_acuminata,0,0.002578,1.66,0.1,11.26,0.4712,1.42,3621,7.5663,12.1,0.65,3.32,be,zoo
14,3,Ouratea_acuminata,0,0.0023,1.79,0.21,11.01,0.3916,1.38,3215,6.4026,12.91,0.78,4.59,be,zoo
15,3,Ouratea_acuminata,0,0.004584,1.74,0.05,12.09,0.379,1.35,4165,7.0791,11.3,0.67,3.32,be,zoo
