Species,IN,FI,Dispersion
Bastardiopsis densiflora,-5,-2,3
Alchornea glandulosa,-5,-1,4
Alchornea glandulosa,2,3,4
Andira fraxinifolia,-5,-1,4
Andira fraxinifolia,1,6,4
Annona sylvatica,-5,-2,4
Annona sylvatica,6,6,4
Casearia sylvestris,-5,4,4
Cupania vernalis,-5,-2,4
Cupania vernalis,6,6,4
Diospyros inconstans,-5,-2,4
Diospyros inconstans,1,2,4
Eugenia florida,-5,6,4
Guapira hirsuta,-5,-2,4
Guapira hirsuta,2,3,4
Guarea macrophylla,-5,-2,4
Guarea macrophylla,2,3,4
Guazuma ulmifolia,-5,-1,4
Guazuma ulmifolia,1,6,4
Leucochloron incuriale,-5,-1,4
Lithraea molleoides,-5,-1,4
Lithraea molleoides,1,4,4
Machaerium stipitatum,-5,-1,4
Machaerium stipitatum,1,6,4
Machaerium villosum,-5,-2,4
Machaerium villosum,6,6,4
Moquiniastrum polymorphum,-5,-1,4
Moquiniastrum polymorphum,6,6,4
Myrsine umbellata,-3,-2,4
Nectandra lanceolata,-5,-2,4
Nectandra lanceolata,2,3,4
Ocotea puberula,-5,-2,4
Ocotea puberula,2,5,4
Syagrus romanzoffiana,-5,-1,4
Syagrus romanzoffiana,6,6,4
Tapirira guianensis,-5,-2,4
Tapirira guianensis,1,2,4
Trichilia catigua,-3,-2,4
Vochysia tucanorum,-5,-2,4
Zanthoxylum monogynum,-5,-1,4
Zanthoxylum monogynum,3,6,4
Zanthoxylum petiolare,-5,-2,4
Zanthoxylum petiolare,1,2,4
