"Especie_1";"Especie_2";"r_Spearman";"p_valor";"Significativo"
"Chrysophyllum marginatum (5)";"Machaerium nyctitans (3)";0,883;1e-04;"Sim (*)"
"Croton floribundus (4)";"Sebastiania brasiliensis (4)";0,84;6e-04;"Sim (*)"
"Guarea macrophylla (3)";"Syagrus romanzoffiana (5)";0,821;0,0011;"Sim (*)"
"Alchornea glandulosa (3)";"Sebastiania brasiliensis (4)";0,771;0,0033;"Sim (*)"
"Myrcia tomentosa (4)";"Sebastiania brasiliensis (4)";0,771;0,0033;"Sim (*)"
"Myrcia tomentosa (4)";"Tapirira guianensis (3)";0,759;0,0042;"Sim (*)"
"Croton floribundus (4)";"Guarea macrophylla (3)";0,755;0,0045;"Sim (*)"
"Alchornea glandulosa (3)";"Myrcia tomentosa (4)";0,75;0,005;"Sim (*)"
"Eucalyptus spp. (3)";"Myrcia tomentosa (4)";-0,748;0,0051;"Sim (*)"
"Eucalyptus spp. (3)";"Guazuma ulmifolia (5)";-0,721;0,0082;"Sim (*)"
"Aloysia virgata (3)";"Tapirira guianensis (3)";0,698;0,0116;"Sim (*)"
"Sebastiania brasiliensis (4)";"Tapirira guianensis (3)";0,698;0,0116;"Sim (*)"
"Guarea macrophylla (3)";"Sebastiania brasiliensis (4)";0,697;0,0118;"Sim (*)"
"Machaerium nyctitans (3)";"Moquiniastrum polymorphum (6)";0,691;0,0128;"Sim (*)"
"Eugenia florida (3)";"Moquiniastrum polymorphum (6)";0,689;0,0133;"Sim (*)"
"Croton floribundus (4)";"Eugenia florida (3)";0,675;0,0161;"Sim (*)"
"Guarea macrophylla (3)";"Guazuma ulmifolia (5)";0,659;0,0197;"Sim (*)"
"Luehea candicans (8)";"Trichilia pallida (5)";0,659;0,0198;"Sim (*)"
"Alchornea glandulosa (3)";"Tapirira guianensis (3)";0,658;0,0199;"Sim (*)"
"Aloysia virgata (3)";"Myrcia tomentosa (4)";0,63;0,0281;"Sim (*)"
"Guazuma ulmifolia (5)";"Tapirira guianensis (3)";0,61;0,035;"Sim (*)"
"Croton floribundus (4)";"Myrcia tomentosa (4)";0,604;0,0377;"Sim (*)"
"Alchornea glandulosa (3)";"Croton floribundus (4)";0,604;0,0377;"Sim (*)"
"Guazuma ulmifolia (5)";"Myrcia tomentosa (4)";0,601;0,0388;"Sim (*)"
"Alchornea glandulosa (3)";"Guarea macrophylla (3)";0,592;0,0425;"Sim (*)"
"Eugenia florida (3)";"Trichilia pallida (5)";-0,584;0,0461;"Sim (*)"
"Casearia sylvestris (8)";"Luehea candicans (8)";-0,572;0,0522;"Não"
"Eucalyptus spp. (3)";"Tapirira guianensis (3)";-0,571;0,0526;"Não"
"Moquiniastrum polymorphum (6)";"Trichilia pallida (5)";-0,563;0,0566;"Não"
"Moquiniastrum polymorphum (6)";"Myracrodruon urundeuva (9)";0,562;0,057;"Não"
"Casearia sylvestris (8)";"Myracrodruon urundeuva (9)";0,556;0,0603;"Não"
"Casearia sylvestris (8)";"Syagrus romanzoffiana (5)";-0,549;0,0646;"Não"
"Alchornea glandulosa (3)";"Eucalyptus spp. (3)";-0,548;0,0652;"Não"
"Guazuma ulmifolia (5)";"Syagrus romanzoffiana (5)";0,542;0,0689;"Não"
"Croton floribundus (4)";"Tapirira guianensis (3)";0,535;0,0731;"Não"
"Guazuma ulmifolia (5)";"Sebastiania brasiliensis (4)";0,53;0,0763;"Não"
"Alchornea glandulosa (3)";"Eugenia florida (3)";0,527;0,0783;"Não"
"Eugenia florida (3)";"Myracrodruon urundeuva (9)";0,527;0,0783;"Não"
"Eugenia florida (3)";"Myrcia tomentosa (4)";0,527;0,0783;"Não"
"Eugenia florida (3)";"Sebastiania brasiliensis (4)";0,527;0,0783;"Não"
"Luehea candicans (8)";"Syagrus romanzoffiana (5)";0,524;0,0804;"Não"
"Aloysia virgata (3)";"Sebastiania brasiliensis (4)";0,5;0,0979;"Não"
"Guarea macrophylla (3)";"Tapirira guianensis (3)";0,499;0,0986;"Não"
"Guarea macrophylla (3)";"Zanthoxylum rhoifolium (6)";-0,497;0,1;"Não"
"Luehea candicans (8)";"Tapirira guianensis (3)";0,496;0,1014;"Não"
"Machaerium nyctitans (3)";"Trichilia pallida (5)";-0,489;0,1069;"Não"
"Croton floribundus (4)";"Guazuma ulmifolia (5)";0,486;0,109;"Não"
"Chrysophyllum marginatum (5)";"Trichilia pallida (5)";-0,486;0,1094;"Não"
"Aloysia virgata (3)";"Eucalyptus spp. (3)";-0,481;0,1134;"Não"
"Eucalyptus spp. (3)";"Sebastiania brasiliensis (4)";-0,481;0,1134;"Não"
"Eugenia florida (3)";"Machaerium nyctitans (3)";0,478;0,1159;"Não"
"Luehea candicans (8)";"Myracrodruon urundeuva (9)";-0,475;0,1183;"Não"
"Eucalyptus spp. (3)";"Guarea macrophylla (3)";-0,475;0,1188;"Não"
"Guazuma ulmifolia (5)";"Luehea candicans (8)";0,463;0,1293;"Não"
"Croton floribundus (4)";"Syagrus romanzoffiana (5)";0,45;0,1418;"Não"
"Alchornea glandulosa (3)";"Guazuma ulmifolia (5)";0,447;0,1448;"Não"
"Casearia sylvestris (8)";"Trichilia pallida (5)";-0,445;0,147;"Não"
"Eucalyptus spp. (3)";"Eugenia florida (3)";-0,443;0,1488;"Não"
"Eucalyptus spp. (3)";"Moquiniastrum polymorphum (6)";-0,427;0,1658;"Não"
"Casearia sylvestris (8)";"Guarea macrophylla (3)";-0,425;0,1684;"Não"
"Guarea macrophylla (3)";"Myracrodruon urundeuva (9)";-0,422;0,1722;"Não"
"Myracrodruon urundeuva (9)";"Syagrus romanzoffiana (5)";-0,417;0,1771;"Não"
"Aloysia virgata (3)";"Guazuma ulmifolia (5)";0,406;0,1904;"Não"
"Alchornea glandulosa (3)";"Zanthoxylum rhoifolium (6)";-0,405;0,1915;"Não"
"Syagrus romanzoffiana (5)";"Zanthoxylum rhoifolium (6)";-0,405;0,1917;"Não"
"Croton floribundus (4)";"Machaerium nyctitans (3)";0,403;0,1936;"Não"
"Chrysophyllum marginatum (5)";"Moquiniastrum polymorphum (6)";0,399;0,1993;"Não"
"Croton floribundus (4)";"Eucalyptus spp. (3)";-0,396;0,2025;"Não"
"Croton floribundus (4)";"Trichilia pallida (5)";-0,394;0,2048;"Não"
"Machaerium nyctitans (3)";"Syagrus romanzoffiana (5)";0,387;0,2146;"Não"
"Guarea macrophylla (3)";"Luehea candicans (8)";0,385;0,2165;"Não"
"Guarea macrophylla (3)";"Myrcia tomentosa (4)";0,364;0,2442;"Não"
"Aloysia virgata (3)";"Moquiniastrum polymorphum (6)";-0,363;0,2464;"Não"
"Tapirira guianensis (3)";"Zanthoxylum rhoifolium (6)";-0,363;0,2464;"Não"
"Guarea macrophylla (3)";"Machaerium nyctitans (3)";0,363;0,2467;"Não"
"Myracrodruon urundeuva (9)";"Zanthoxylum rhoifolium (6)";0,362;0,2472;"Não"
"Chrysophyllum marginatum (5)";"Croton floribundus (4)";0,356;0,2556;"Não"
"Eucalyptus spp. (3)";"Zanthoxylum rhoifolium (6)";0,345;0,2719;"Não"
"Chrysophyllum marginatum (5)";"Eugenia florida (3)";0,343;0,2748;"Não"
"Croton floribundus (4)";"Zanthoxylum rhoifolium (6)";-0,338;0,2822;"Não"
"Eugenia florida (3)";"Guazuma ulmifolia (5)";0,334;0,289;"Não"
"Eugenia florida (3)";"Guarea macrophylla (3)";0,32;0,3105;"Não"
"Aloysia virgata (3)";"Luehea candicans (8)";0,317;0,3155;"Não"
"Aloysia virgata (3)";"Machaerium nyctitans (3)";-0,315;0,3188;"Não"
"Myracrodruon urundeuva (9)";"Tapirira guianensis (3)";-0,31;0,3266;"Não"
"Myracrodruon urundeuva (9)";"Trichilia pallida (5)";-0,308;0,3304;"Não"
"Sebastiania brasiliensis (4)";"Trichilia pallida (5)";-0,308;0,3304;"Não"
"Aloysia virgata (3)";"Croton floribundus (4)";0,296;0,3496;"Não"
"Alchornea glandulosa (3)";"Chrysophyllum marginatum (5)";-0,293;0,3553;"Não"
"Croton floribundus (4)";"Luehea candicans (8)";0,28;0,3776;"Não"
